date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:16	1312/1312	---M-Z	200	added ('OK')	application/x-javascript	etag:%221fa1f71a8070d11:0%22	https://daily.gate.vn/Skin/control/Login.js	E:/FPT/Template/Template/daily.gate.vn/Skin/control/Login.js	(from https://daily.gate.vn/home/)
20:33:16	26851/26851	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:13%20GMT	https://daily.gate.vn/quen-mat-khau/	E:/FPT/Template/Template/daily.gate.vn/quen-mat-khau/index.html	(from https://daily.gate.vn/home/)
20:33:17	36816/36816	---M-Z	200	added ('OK')	application/x-javascript	etag:%22055289e14a8d01:0%22	https://daily.gate.vn/Skin/js/bootstrap.min.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/bootstrap.min.js	(from https://daily.gate.vn/home/)
20:33:17	32766/32766	---M-Z	200	added ('OK')	application/x-javascript	etag:%22922ecb3e3b11d11:0%22	https://daily.gate.vn/Skin/js/bootstrap-datepicker.min.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/bootstrap-datepicker.min.js	(from https://daily.gate.vn/home/)
20:33:17	7810/7810	---M-Z	200	added ('OK')	application/x-javascript	etag:%225c21c8b263edd11:0%22	https://daily.gate.vn/Skin/master_page/masterpage.master.js	E:/FPT/Template/Template/daily.gate.vn/Skin/master_page/masterpage.master.js	(from https://daily.gate.vn/home/)
20:33:17	6553/6553	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217e6f6deacf8d31:0%22	https://daily.gate.vn/Skin/master_page/menuindex.js	E:/FPT/Template/Template/daily.gate.vn/Skin/master_page/menuindex.js	(from https://daily.gate.vn/home/)
20:33:18	4876/4876	---M-Z	200	added ('OK')	application/x-javascript	etag:%22808c67e3663cd11:0%22	https://daily.gate.vn/json/home.js	E:/FPT/Template/Template/daily.gate.vn/json/home.js	(from https://daily.gate.vn/home/)
20:33:18	20362/20362	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fc368cb3b137d11:0%22	https://daily.gate.vn/Skin/js/bootstrap-dialog.min.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/bootstrap-dialog.min.js	(from https://daily.gate.vn/home/)
20:33:18	3749/3749	---M-Z	200	added ('OK')	application/x-javascript	etag:%228069a0f12c2d11:0%22	https://daily.gate.vn/Skin/js/function.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/function.js	(from https://daily.gate.vn/home/)
20:33:18	9143/9143	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ce48665ddc0ce1:0%22	https://daily.gate.vn/Skin/js/util.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/util.js	(from https://daily.gate.vn/home/)
20:33:19	56878/56878	---M-Z	200	added ('OK')	application/x-javascript	etag:%22aa2faa783cce1:0%22	https://daily.gate.vn/Skin/js/jquery.nicescroll.min.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/jquery.nicescroll.min.js	(from https://daily.gate.vn/home/)
20:33:19	2313/2313	---M-Z	200	added ('OK')	application/x-javascript	etag:%2206f7e19eeb2ce1:0%22	https://daily.gate.vn/Skin/js/jquery.xdomainajax.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/jquery.xdomainajax.js	(from https://daily.gate.vn/home/)
20:33:19	54780/54780	---M-Z	200	added ('OK')	application/x-javascript	etag:%220c51cd53e35ce1:0%22	https://daily.gate.vn/Skin/js/jquery.carouFredSel-6.2.1-packed.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/jquery.carouFredSel-6.2.1-packed.js	(from https://daily.gate.vn/home/)
20:33:19	1389/1389	---M-Z	200	added ('OK')	application/x-javascript	etag:%227e25e39041dd11:0%22	https://daily.gate.vn/Skin/js/slideshow.js	E:/FPT/Template/Template/daily.gate.vn/Skin/js/slideshow.js	(from https://daily.gate.vn/home/)
20:33:20	20127/20127	---M--	200	added ('OK')	application/octet-stream	etag:%22025e14e12a8d01:0%22	https://daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.eot	E:/FPT/Template/Template/daily.gate.vn/Skin/fonts/glyphicons-halflings-regular.eot	(from https://daily.gate.vn/Skin/css/bootstrap.min.css)
20:33:20	35266/35266	---MC-	200	added ('OK')	text/javascript	date:Fri,%2018%20May%202018%2001:10:24%20GMT	https://www.google-analytics.com/analytics.js	E:/FPT/Template/Template/www.google-analytics.com/analytics.js	(from https://daily.gate.vn/home/)
